index,Penalty,Volume,"Comp/LoadCase 1 ""2L""","Comp/LoadCase 2 ""4L""",Compliance/MAX,Mass,Sens/Volume_Min,Sens/Volume_Ave,Sens/Volume_Max,Sens/Compl._Min,Sens/Compl._Ave,Sens/Compl._Max,Freedom Min,Freedom Ave,Freedom Max,SPOT Iterations,Density Mid%,BoundDensityMin%,Density Low%,Density High%,BoundDensityMax%,Convergence,RJ/_Volume_Min,RJ/_Volume_Ave,RJ/_Volume_Max,RJ/_Compl._Min,RJ/_Compl._Ave,RJ/_Compl._Max,Iteration Time,Optimizer Time
1,1.0,1200000000.0,705.556,705.556,705.556,9446.4,250000.0,250000.0,250000.0,1.51e-06,0.1456,35.95,0.999,0.999,0.999,49.0,33.0,0.0,2.0,2.0,1.9,35.0,2.972,2.972,2.972,0.9426,0.9426,0.9426,1.0,1.0
2,1.0,420000000.0,1268.09,1268.09,1268.09,3306.24,250000.0,250000.0,250000.0,0.0001446,0.5937,36.42,0.999,0.999,0.999,32.0,32.4,0.4,3.2,2.6,2.3,94.98,0.7654,0.7654,0.7654,0.4875,0.4875,0.4875,0.0,0.0
3,1.0,420000000.0,1216.87,1216.86,1216.87,3306.24,250000.0,250000.0,250000.0,0.0001356,0.5677,36.44,0.999,0.999,0.999,32.0,29.7,0.7,4.1,5.2,4.2,97.0,0.7698,0.7698,0.7698,0.495,0.495,0.495,1.0,0.0
4,1.0,420000000.0,1195.95,1195.95,1195.95,3306.24,250000.0,250000.0,250000.0,7.048e-05,0.5603,36.45,0.999,0.999,0.999,32.0,28.0,1.0,4.9,6.9,5.9,98.17,0.7572,0.7572,0.7572,0.4979,0.4979,0.4979,1.0,0.0
5,1.0,420000000.0,1186.92,1186.91,1186.92,3306.24,250000.0,250000.0,250000.0,4.968e-05,0.5566,36.44,0.999,0.999,0.999,25.0,26.4,1.3,5.6,8.5,7.7,98.77,0.7491,0.7491,0.7491,0.4989,0.4989,0.4989,0.0,0.0
6,1.0,420007000.0,1182.18,1182.17,1182.18,3306.29,250000.0,250000.0,250000.0,3.852e-05,0.5548,36.44,0.999,0.999,0.999,32.0,25.7,1.6,6.2,9.2,8.5,99.14,0.7431,0.7431,0.7431,0.4994,0.4994,0.4994,1.0,0.0
7,1.0,420003000.0,1179.55,1179.54,1179.55,3306.26,250000.0,250000.0,250000.0,3.608e-05,0.5537,36.44,0.999,0.999,0.999,33.0,25.5,2.0,6.8,9.5,9.1,99.35,0.7406,0.7406,0.7406,0.4996,0.4996,0.4996,1.0,0.0
8,1.0,420000000.0,1177.82,1177.82,1177.82,3306.24,250000.0,250000.0,250000.0,3.392e-05,0.553,36.44,0.999,0.999,0.999,32.0,25.3,2.2,7.2,9.6,9.3,99.48,0.7395,0.7395,0.7395,0.4997,0.4997,0.4997,0.0,0.0
9,1.0,420000000.0,1176.57,1176.57,1176.57,3306.24,250000.0,250000.0,250000.0,3.276e-05,0.5528,36.43,0.999,0.999,0.999,31.0,25.1,2.5,7.6,9.8,9.5,99.57,0.7391,0.7391,0.7391,0.4998,0.4998,0.4998,1.0,0.0
10,1.0,420000000.0,1175.62,1175.62,1175.62,3306.24,250000.0,250000.0,250000.0,3.229e-05,0.5527,36.43,0.999,0.999,0.999,32.0,24.9,2.8,8.0,10.0,9.5,99.64,0.739,0.739,0.739,0.4999,0.4999,0.4999,1.0,0.0
11,1.0,420000000.0,1174.89,1174.89,1174.89,3306.24,250000.0,250000.0,250000.0,3.264e-05,0.5528,36.43,0.999,0.999,0.999,33.0,24.8,3.0,8.3,10.1,9.6,99.69,0.7389,0.7389,0.7389,0.4999,0.4999,0.4999,1.0,0.0
12,1.0,420000000.0,1174.3,1174.3,1174.3,3306.24,250000.0,250000.0,250000.0,3.101e-05,0.553,36.43,0.999,0.999,0.999,33.0,24.6,3.2,8.5,10.3,9.7,99.73,0.7389,0.7389,0.7389,0.4999,0.4999,0.4999,0.0,0.0
13,1.0,420000000.0,1173.83,1173.83,1173.83,3306.24,250000.0,250000.0,250000.0,3.096e-05,0.5532,36.43,0.999,0.999,0.999,33.0,24.5,3.5,8.9,10.4,9.7,99.77,0.7389,0.7389,0.7389,0.4999,0.4999,0.4999,1.0,0.0
14,1.0,420000000.0,1173.44,1173.44,1173.44,3306.24,250000.0,250000.0,250000.0,3.108e-05,0.5533,36.43,0.999,0.999,0.999,32.0,24.3,3.6,9.0,10.6,9.9,99.8,0.7388,0.7388,0.7388,0.4999,0.4999,0.5,1.0,0.0
15,1.0,420001000.0,1173.11,1173.12,1173.12,3306.24,250000.0,250000.0,250000.0,3.073e-05,0.5535,36.43,0.999,0.999,0.999,32.0,24.3,3.8,9.2,10.6,9.9,99.82,0.7388,0.7388,0.7388,0.4999,0.5,0.5,0.0,0.0
16,1.0,420000000.0,1172.84,1172.84,1172.84,3306.24,250000.0,250000.0,250000.0,3.08e-05,0.5537,36.43,0.999,0.999,0.999,32.0,24.2,4.0,9.4,10.7,9.9,99.84,0.7388,0.7388,0.7388,0.5,0.5,0.5,1.0,0.0
17,1.0,420000000.0,1172.61,1172.61,1172.61,3306.24,250000.0,250000.0,250000.0,3.054e-05,0.5538,36.43,0.999,0.999,0.999,32.0,24.2,4.1,9.5,10.7,9.9,99.86,0.7387,0.7387,0.7387,0.5,0.5,0.5,1.0,0.0
18,1.0,420000000.0,1172.41,1172.41,1172.41,3306.24,250000.0,250000.0,250000.0,2.991e-05,0.554,36.42,0.999,0.999,0.999,32.0,24.2,4.2,9.7,10.7,10.0,99.88,0.7387,0.7387,0.7387,0.5,0.5,0.5,1.0,0.0
19,1.0,420000000.0,1172.24,1172.25,1172.25,3306.24,250000.0,250000.0,250000.0,2.961e-05,0.5541,36.42,0.999,0.999,0.999,32.0,24.2,4.3,10.0,10.7,10.0,99.89,0.7386,0.7386,0.7386,0.5,0.5,0.5,0.0,0.0
20,1.0,420000000.0,1172.1,1172.1,1172.1,3306.24,250000.0,250000.0,250000.0,2.964e-05,0.5542,36.42,0.999,0.999,0.999,32.0,24.2,4.5,10.0,10.8,10.0,99.9,0.7386,0.7386,0.7386,0.5,0.5,0.5,1.0,0.0
21,1.0,420000000.0,1171.97,1171.97,1171.97,3306.24,250000.0,250000.0,250000.0,2.973e-05,0.5544,36.42,0.999,0.999,0.999,32.0,24.2,4.6,10.2,10.8,10.0,99.91,0.7385,0.7385,0.7385,0.5,0.5,0.5,1.0,0.0
22,1.0,420000000.0,1171.86,1171.86,1171.86,3306.24,250000.0,250000.0,250000.0,2.961e-05,0.5545,36.42,0.999,0.999,0.999,33.0,24.2,4.6,10.2,10.8,10.0,99.92,0.7385,0.7385,0.7385,0.5,0.5,0.5,1.0,0.0
23,1.0,420001000.0,1171.76,1171.76,1171.76,3306.24,250000.0,250000.0,250000.0,2.942e-05,0.5546,36.42,0.999,0.999,0.999,32.0,24.2,4.7,10.3,10.8,10.0,99.93,0.7385,0.7385,0.7385,0.5,0.5,0.5,0.0,0.0
24,1.0,420001000.0,1171.67,1171.67,1171.67,3306.25,250000.0,250000.0,250000.0,2.934e-05,0.5547,36.42,0.999,0.999,0.999,32.0,24.1,4.8,10.3,10.8,10.0,99.93,0.7384,0.7384,0.7384,0.5,0.5,0.5,1.0,0.0
25,1.0,420001000.0,1171.59,1171.59,1171.59,3306.25,250000.0,250000.0,250000.0,2.929e-05,0.5548,36.42,0.999,0.999,0.999,32.0,24.1,4.9,10.4,10.8,10.0,99.94,0.7384,0.7384,0.7384,0.5,0.5,0.5,1.0,0.0
26,1.0,420001000.0,1171.52,1171.52,1171.52,3306.25,250000.0,250000.0,250000.0,2.926e-05,0.5549,36.42,0.999,0.999,0.999,32.0,24.1,5.0,10.5,10.8,10.0,99.95,0.7383,0.7383,0.7383,0.5,0.5,0.5,1.0,0.0
27,1.0,420001000.0,1171.46,1171.46,1171.46,3306.25,250000.0,250000.0,250000.0,2.927e-05,0.555,36.42,0.999,0.999,0.999,32.0,24.1,5.1,10.5,10.8,10.0,99.95,0.7383,0.7383,0.7383,0.5,0.5,0.5,0.0,0.0
28,1.0,420001000.0,1171.41,1171.4,1171.41,3306.25,250000.0,250000.0,250000.0,2.921e-05,0.5551,36.42,0.999,0.999,0.999,33.0,24.1,5.1,10.6,10.9,10.0,99.95,0.7383,0.7383,0.7383,0.5,0.5,0.5,1.0,0.0
